INSERT INTO `owl_logs` VALUES ('2021-09-02 19:47:50', '27', 'ac465', 'ac465;', 'Connected from 196.206.68.44 - 7F3707543AA445EC1F81A41F09A7E893')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:47:56', '27', 'ac467', 'ac467;', 'Connected from 105.72.60.186 - 4AEE6BAD8F515A1A5272F0A642A4FEA4')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:47:58', '27', 'ac465', 'ac465;ch575;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:47:59', '27', 'ac463', 'ac463;', 'Connected from 105.71.150.160 - E419C14BA48DB728EC9E33422437B292')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:06', '27', 'ac467', 'ac467;ch577;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:07', '27', 'ac463', 'ac463;ch573;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:18', '27', 'ac468', 'ac468;', 'Connected from 105.154.1.226 - C35DC12B8B77E657A3310485E60AA333')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:27', '27', 'ac468', 'ac468;ch578;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:29', '27', 'ac470', 'ac470;', 'Connected from 196.74.174.124 - 1777AFEE7CD43A44D6D3DDB689AF45B3')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:31', '27', 'ac466', 'ac466;', 'Connected from 41.248.170.63 - 0453E420CE0606D2147293DF2212DF62')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:38', '27', 'ac470', 'ac470;ch579;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:48:40', '27', 'ac466', 'ac466;ch576;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:49:41', '27', 'ac469', 'ac469;', 'Connected from 105.158.174.108 - E893C4C748E6B03025B9B37DF6E54DA4')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:49:50', '27', 'ac469', 'ac469;ch580;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:49:58', '7', 'ch577', 'ch577;ch580;', 'English: Lasd')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:50:04', '7', 'ch580', 'ch580;ch577;', 'English: Wewe')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:52:47', '7', 'ch575', 'ch575;', 'English: :A')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:52:50', '27', 'ac464', 'ac464;', 'Connected from 160.177.23.192 - B286AA07FAA83D96FE933543C6526192')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:52:59', '27', 'ac464', 'ac464;ch574;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:53:02', '40', 'ch573', 'ch573;', '*Benjamin Flores Ki Dir Ydih F Jibo*')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:11', '27', 'ac463', 'ac463;', 'Connected from 105.71.150.160 - E419C14BA48DB728EC9E33422437B292')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:16', '27', 'ac467', 'ac467;', 'Connected from 105.72.60.186 - 4AEE6BAD8F515A1A5272F0A642A4FEA4')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:18', '27', 'ac465', 'ac465;', 'Connected from 196.206.68.44 - 7F3707543AA445EC1F81A41F09A7E893')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:19', '27', 'ac463', 'ac463;ch573;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:24', '27', 'ac467', 'ac467;ch577;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:26', '27', 'ac465', 'ac465;ch575;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:30', '27', 'ac464', 'ac464;', 'Connected from 160.177.23.192 - B286AA07FAA83D96FE933543C6526192')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:33', '27', 'ac468', 'ac468;', 'Connected from 105.154.1.226 - C35DC12B8B77E657A3310485E60AA333')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:38', '27', 'ac464', 'ac464;ch574;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:42', '27', 'ac468', 'ac468;ch578;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:48', '27', 'ac466', 'ac466;', 'Connected from 41.248.170.63 - 0453E420CE0606D2147293DF2212DF62')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:54:56', '27', 'ac466', 'ac466;ch576;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:03', '6', 'ch574', 've28;', 'SPAWNVEH \'Bullet\' CIVILLIAN')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:09', '27', 'ac470', 'ac470;', 'Connected from 196.74.174.124 - 1777AFEE7CD43A44D6D3DDB689AF45B3')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:10', '31', 'SYSTEM', 've28;ch574;', 'STARTED ENGINE')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:17', '27', 'ac470', 'ac470;ch579;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:24', '40', 'ch573', 'ch574;ch573;ch575;', '*Benjamin Flores Ki Khchi Contact W Ki Demari / Ki Sket*')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:36', '6', 'ch575', 've10;', 'gotoveh')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:40', '31', 'SYSTEM', 've28;ch574;', 'STARTED ENGINE')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:49', '7', 'ch574', 'ch574;ve28;ve28;', 'English: INCAR K')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:55:52', '6', 'ch574', 've29;', 'SPAWNVEH \'Bullet\' CIVILLIAN')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:02', '40', 'ch573', 'ch574;ch573;', '*Benjamin Flores Ki Khchi Contact W Ki Demari / Ki Sket*')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:02', '31', 'SYSTEM', 've29;ch573;', 'STARTED ENGINE')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:03', '27', 'ac471', 'ac471;', 'Connected from 196.75.234.130 - 65A80B276D8D8F47E84CA351DA8AF7A1')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:17', '27', 'ac469', 'ac469;', 'Connected from 105.158.174.108 - E893C4C748E6B03025B9B37DF6E54DA4')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:27', '34', 'ch573', 'ch573;ch574;', ' got killed by Jack Smith (Fist)')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:28', '27', 'ac469', 'ac469;ch580;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:33', '4', 'ch574', 'ch573;', 'REVIVED from PK')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:37', '19', 'ch580', 'ch580;ch578;ch577;ch579;', 'English Hahowa khrej tani')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:43', '27', 'ac471', 'ac471;ch581;', 'Created')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:44', '27', 'ac471', 'ac471;ch581;', 'Spawned')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:45', '6', 'ch574', 've28;', 'SETVEHICLECOLOR 5')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:47', '7', 'ch574', 'ch574;ve28;ve28;', 'English: INCAR 1')
INSERT INTO `owl_logs` VALUES ('2021-09-02 19:56:51', '7', 'ch574', 'ch574;ve28;ve28;', 'English: INCAR Go')
